"Field1","Field2_Text","Field2_Link","Field3_Text"
"The Green Skyscraper","Ken Yeang","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Ken%20Yeang","The Green Skyscraper"
"The Green Skyscraper","Ken Yeang","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Ken%20Yeang","Ken Yeang"
"The Green Skyscraper","Ken Yeang","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Ken%20Yeang","Aaron Betsky"
"The Green Skyscraper","Ken Yeang","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Ken%20Yeang","The Technology of Ecological Building"
"The Green Skyscraper","Ken Yeang","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Ken%20Yeang","Klaus Daniels"
"The Green Skyscraper","Ken Yeang","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Ken%20Yeang","state‐of‐the‐art materials and technologies"
"The Green Skyscraper","Ken Yeang","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Ken%20Yeang","Michael Lauring"
"The Green Skyscraper","Ken Yeang","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Ken%20Yeang","Nordic Journal of Architectural Research"
"The Green Skyscraper","Ken Yeang","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Ken%20Yeang","Janine Benyus"
"The Green Skyscraper","Ken Yeang","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Ken%20Yeang","Kevin Kelly"
"The Green Skyscraper","Ken Yeang","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Ken%20Yeang","Out of Control"
"The Green Skyscraper","Ken Yeang","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Ken%20Yeang","Simos Yannas"
"The Green Skyscraper","Ken Yeang","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Ken%20Yeang","HOK/Vanderweil, Process Zero: Retrofit Resolution (GSA building retrofit for Metropolis magazine's ‘Get the Feds to Zero’ competition), 2011"
"The Green Skyscraper","Ken Yeang","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Ken%20Yeang","Transsolar Klimaengineering, Glasshouse Prototypes, Gardens by the Bay, Singapore, 2011"
"The Green Skyscraper","Ken Yeang","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Ken%20Yeang","Meredith Davey"
"The Green Skyscraper","Ken Yeang","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Ken%20Yeang","Atelier Ten"
"The Green Skyscraper","Ken Yeang","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Ken%20Yeang","Wilkinson Eyre"
"The Green Skyscraper","Ken Yeang","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Ken%20Yeang","National Parks Board of Singapore"
"The Green Skyscraper","Ken Yeang","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Ken%20Yeang","Specialist Modelling Group at Foster + Partners"
"The Green Skyscraper","Ken Yeang","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Ken%20Yeang","Aedas R&D"
"The Green Skyscraper","Ken Yeang","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Ken%20Yeang","Nikken Sekkei Research Institute"
"The Green Skyscraper","Ken Yeang","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Ken%20Yeang","GXN at 3XN"
"The Green Skyscraper","Ken Yeang","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Ken%20Yeang","Perkins + Will Canada"
"The Green Skyscraper","Ken Yeang","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Ken%20Yeang","thermal energy studies"
"The Green Skyscraper","Ken Yeang","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Ken%20Yeang","Masdar City, Abu Dhabi"
"The Green Skyscraper","Ken Yeang","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Ken%20Yeang","2012Architecten"
"The Green Skyscraper","Ken Yeang","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Ken%20Yeang","10 Design"
"The Green Skyscraper","Ken Yeang","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Ken%20Yeang","Autodesk Research"
"The Green Skyscraper","Ken Yeang","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Ken%20Yeang","BNIM"
"The Green Skyscraper","Ken Yeang","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Ken%20Yeang","LEED"
"The Green Skyscraper","Ken Yeang","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Ken%20Yeang","Living Buildings"
"The Green Skyscraper","Ken Yeang","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Ken%20Yeang","Laura Lesniewski"
"The Green Skyscraper","Ken Yeang","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Ken%20Yeang","Omega Center"
"The Green Skyscraper","Ken Yeang","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Ken%20Yeang","Tall Building Simulation, 2009"
"The Green Skyscraper","Ken Yeang","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Ken%20Yeang","Arup"
"The Green Skyscraper","Ken Yeang","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Ken%20Yeang","Rau Architects"
