Field1_Text
Oscar Wilde
The Picture of Dorian Gray
Immanuel Kant
Alexander Gottlieb Baumgarten
Aesthetica
Mies van der Rohe
Mark Foster Gage Architects
Geothermal Futures Lab installation
Sam Jacob
Kengo Kuma
Bjarke Ingels Group (BIG)
Wood/Pile meditation house
Munich
Germany
Serpentine Pavilion
London
Semir Zeki
Robbert Dijkgraaf
Graham Harman
Juhani Pallasmaa
The Eyes of the Skin: Architecture and the Senses
Marcel Duchamp
Ron Aharoni
Lisa Samuels
Auckland University
Ron Arad
Bodyguard
Ali Rahim
Hina Jamelle
Contemporary Architecture Practice
Elegance
Gaston Bachelard
The Poetics of Space
Christian Norberg‐Schulz
Martin Heidegger
Maurice Merleau‐Ponty
Leon van Schaik
Practical Poetics in Architecture
Marjan Colletti
Roland Snooks
Floe installation
Space Popular
The Glass Chain installation
Kazuyo Sejima
SANAA
Winka Dubbeldam
Archi‐Tectonics
Izaskun Chinchilla
Izaskun Chinchilla Architects
Madrid
Emilio Luque
Jeanne Gang
Studio Gang
Peter Cook
Nannette Jackowski
Ricardo de Ostos
NaJa & deOstos
David A Garcia
MAP Architects
Copenhagen
Claudia Pasquero
Marco Poletto
ecoLogicStudio
John Wardle
Fleur Watson
Martyn Hook
Stefan Rutzinger
Kristina Schinegger
soma architecture
Vienna
Tom Wiscombe
Gilles Retsin
Alisa Andrasek
RMIT University
Melbourne
Frank Gehry
Bilbao Guggenheim Museum
Italian Radical movement
Florence
Whites and Grays
US
Pino Brugellis
Manuel Orazi
Vietnam War
Marco De Michelis
Perry Kulper
Saumon Oboudiyat
Dogma
OFFICE Kersten Geers David Van Severen
Pier Vittorio Aureli
Martino Tattara
Superstudio
Peter Eisenman
Archizoom
John Hejduk
William Menking
Sarah Deyong
Architectural Association (AA)
Alvin Boyarsky
Rem Koolhaas
Zaha Hadid
Nigel Coates
Igor Marjanovic
NEMESTUDIO
Neyran Turan
Stylianos Giamarelos
Mimi Zeiger
Surrealists
Dadaists
Andrew Kovacs
Archive of Affinities project
Luke Pearson
Jimenez Lai
Neil Spiller
Sarah Dunn
Martin Felsen
UrbanLab
Charles Darwin
Kenzo Tange
Pablo Bronstein
Luis Miguel Lus Arana
Klaus
Matthew Butcher
Raimund Abraham
Damjan Jovanovic
K Michael Hays
Monica Pidgeon
Robin Middleton
Cedric Price
Norman Foster
Royal Institute of British Architects (RIBA)
American Institute of Architects (AIA)
RMIT University in Melbourne
London School of Architecture (LSA)
Oxford Conference of Architectural Education
Magdalen College
Royal College of Art (RCA)
British Land
"Columbia University Graduate School of Architecture, Planning and Preservation (GSAPP)"
DSDHA
University of Sheffield School of Architecture
Harriet Harriss
John Zhang
Anne Boddington
Public Practice
Rory Hyde
James Soane
Ziona Strelitz
ZZA Responsive User Environments consultancy
WeWork
Daniel Davis
Foster + Partners
AMO
OMA
Rotor
iredale pedersen hook
Yagan Square
Perth
Western Australia
the Smithsons
Economist Plaza
Superflux
Jane Hall
Assemble
Igor Pantic
Christoph Klemmt
Andrei Gheorghe
Styx
Architectural Association (AA) Visiting School
University of Applied Arts Vienna
2008 financial crisis
neoliberalism
Four Walls and a Roof
Reinier de Graaf
Peggy Deamer
Panagiota Spyropoulou
Hyein Lee
Pooja Gosavi
Pratiksha Renake
MickeyMatter robotically assembled chair
B‐Pro Research Cluster 4
Bartlett School of Architecture
University College London (UCL)
Daniel Koehler
Mario Carpo
’Coding the World’
Centre Pompidou
Paris
Alfred Farwell Bemis
Massachusetts Institute of Technology (MIT)
The Evolving House
Dafni Katrakalidi
Martha Masli
Mengyu Huang
Man Nguyen
Wenji Zhang
AssemblerAssemble
Venice Architecture Biennale
Ensamble Studio
Christian Kerez
Sou Fujimoto
Serpentine Gallery Pavilion
Cyclopean House
Brooklyn
New York
Arts and Crafts movement
William Morris
John Ruskin
Emmanuelle Chiaponne‐Piriou
Philippe Morel
Rasa Navasaityte
Junyi Bai
Anna Galika
Qiuru Pu
Mereologies – Project Blockerties
Large City Architecture
EZCT
Universal House
Jose Sanchez
Nathan Melenbrink
Justin Werfel
Robotic Ecosystem
Wyss Institute
Harvard University
"Cambridge, Massachusetts"
MIT Center for Bits and Atoms
NASA Ames Research Center
BILL‐E robotic platform
Benjamin Jennett
Kenneth Cheung
Paul Mason
Mollie Claypool
Maria Yablonina
Achim Menges
Manja van de Worp
Manuel Jimenez García
Nicholas Negroponte
John Frazer
M Casey Rehm
Immanuel Koh
Ryan Vincent Manning
Viola Ago
Marrikka Trotter
Lei Zheng
Google
Apple
Amazon
Internet
Cray XC40
Cyrille Dubreuil
The Bow
Sheehan Partners
Facebook Data Center
Prineville
Oregon
Met Office
Exeter
UK
Benjamin Bratton
John Gerrard
Google's data repository
Ingrid Burrington
cryptocurrency miners
Xingzhe Liu
Geoff Manaugh
Jesse LeCavalier
Clare Lyster
Simone Niquille
SpotMini robot dog
Tim Maughan
Deborah Harrison
chatbots
Trevor Paglen
Alice Gorman
Jenny Odell
Anthropocene
Le Corbusier
Post‐Anthropocene
Apple Campus
Cupertino
California
NBBJ
Amazon Spheres
Seattle
Washington
Industrial Revolution
marquee architectures
BIG
Heatherwick Studio's Googleplex
